customer_key,recency,frequency,monetary,r,f,m,rfm_score,Segment
11000,271,3,8248.99,1,3,4,134,Almost Lost
11001,50,3,6383.879999999999,4,3,4,434,Loyal Customers
11002,340,3,8114.039999999999,1,3,4,134,Almost Lost
11003,264,3,8139.289999999999,2,3,4,234,Loyal Customers
11004,273,3,8196.009999999998,1,3,4,134,Almost Lost
11005,272,3,8121.33,1,3,4,134,Almost Lost
11006,260,3,8119.03,2,3,4,234,Loyal Customers
11007,316,3,8211.0,1,3,4,134,Almost Lost
11008,333,3,8106.3099999999995,1,3,4,134,Almost Lost
11009,265,3,8091.33,1,3,4,134,Almost Lost
11010,251,3,8088.039999999999,2,3,4,234,Loyal Customers
11011,316,3,8133.039999999999,1,3,4,134,Almost Lost
11012,106,2,81.26,3,2,2,322,Needs Attention
11013,8,2,113.96000000000001,4,2,2,422,Recent Customers
11014,274,2,138.45,1,2,2,122,Almost Lost
11015,376,1,2500.97,1,1,3,113,Lost Customers
11016,354,1,2332.2799999999997,1,1,3,113,Lost Customers
11017,107,3,6434.3099999999995,3,3,4,334,Loyal Customers
11018,97,3,6533.28,3,3,4,334,Loyal Customers
11019,17,17,882.7,4,4,3,443,Loyal Customers
11020,396,1,2316.97,1,1,3,113,Lost Customers
11021,371,1,2371.9599999999996,1,1,3,113,Lost Customers
11022,374,1,2322.2799999999997,1,1,3,113,Lost Customers
11023,15,2,122.24000000000001,4,2,2,422,Recent Customers
11024,187,2,56.510000000000005,2,2,2,222,Needs Attention
11025,96,3,6576.799999999999,3,3,4,334,Loyal Customers
11026,106,3,6575.79,3,3,4,334,Loyal Customers
11027,97,3,6591.57,3,3,4,334,Loyal Customers
11028,114,3,6474.62,3,3,4,334,Loyal Customers
11029,79,3,6565.29,4,3,4,434,Loyal Customers
11030,81,3,6471.32,4,3,4,434,Loyal Customers
11031,77,3,6478.599999999999,4,3,4,434,Loyal Customers
11032,82,3,6525.5599999999995,4,3,4,434,Loyal Customers
11033,85,3,6495.289999999999,4,3,4,434,Loyal Customers
11034,80,3,6491.32,4,3,4,434,Loyal Customers
11035,75,3,6451.3099999999995,4,3,4,434,Loyal Customers
11036,372,1,2354.9799999999996,1,1,3,113,Lost Customers
11037,374,1,2374.2299999999996,1,1,3,113,Lost Customers
11038,78,3,6437.33,4,3,4,434,Loyal Customers
11039,79,3,6636.58,4,3,4,434,Loyal Customers
11040,301,1,2350.9599999999996,1,1,3,113,Lost Customers
11041,380,1,2380.47,1,1,3,113,Lost Customers
11042,104,2,3112.33,3,2,4,324,Big Spender
11043,164,2,47.980000000000004,3,2,1,321,Needs Attention
11044,82,3,6515.299999999999,4,3,4,434,Loyal Customers
11045,92,2,114.96000000000001,3,2,2,322,Needs Attention
11046,78,3,6616.8099999999995,4,3,4,434,Loyal Customers
11047,71,3,6582.33,4,3,4,434,Loyal Customers
11048,35,3,6498.24,4,3,4,434,Loyal Customers
11049,92,2,81.26,3,2,2,322,Needs Attention
11050,71,3,5007.3,4,3,4,434,Loyal Customers
11051,28,2,123.95,4,2,2,422,Recent Customers
11052,247,3,8131.32,2,3,4,234,Loyal Customers
11053,377,1,2329.9799999999996,1,1,3,113,Lost Customers
11054,244,3,8223.02,2,3,4,234,Loyal Customers
11055,236,3,8168.01,2,3,4,234,Loyal Customers
11056,243,3,8207.5,2,3,4,234,Loyal Customers
11057,253,3,8088.039999999999,2,3,4,234,Loyal Customers
11058,239,3,8248.02,2,3,4,234,Loyal Customers
11059,319,3,116.93,1,3,2,132,Almost Lost
11060,218,3,8153.0199999999995,2,3,4,234,Loyal Customers
11061,229,3,8129.0199999999995,2,3,4,234,Loyal Customers
11062,387,1,2351.9599999999996,1,1,3,113,Lost Customers
11063,382,1,2372.95,1,1,3,113,Lost Customers
11064,369,1,2304.9799999999996,1,1,3,113,Lost Customers
11065,19,2,202.57,4,2,2,422,Recent Customers
11066,132,2,81.26,3,2,2,322,Needs Attention
11067,17,2,105.75,4,2,2,422,Recent Customers
11068,113,3,113.36,3,3,2,332,Loyal Customers
11069,239,3,8104.049999999999,2,3,4,234,Loyal Customers
11070,217,3,8165.549999999999,2,3,4,234,Loyal Customers
11071,59,3,110.22999999999999,4,3,2,432,Loyal Customers
11072,228,3,8194.0,2,3,4,234,Loyal Customers
11073,161,3,191.9,3,3,2,332,Loyal Customers
11074,247,3,94.19,2,3,2,232,Loyal Customers
11075,219,3,8068.03,2,3,4,234,Loyal Customers
11076,222,3,8159.039999999999,2,3,4,234,Loyal Customers
11077,231,3,8169.029999999999,2,3,4,234,Loyal Customers
11078,1,17,913.27,4,4,3,443,Loyal Customers
11079,28,3,57.95,4,3,2,432,Loyal Customers
11080,220,3,8204.02,2,3,4,234,Loyal Customers
11081,291,2,104.25999999999999,1,2,2,122,Almost Lost
11082,84,2,3110.81,4,2,4,424,Big Spender
11083,82,2,3137.3199999999997,4,2,4,424,Big Spender
11084,69,2,3078.6099999999997,4,2,4,424,Big Spender
11085,21,2,128.96,4,2,2,422,Recent Customers
11086,39,2,153.45,4,2,2,422,Recent Customers
11087,173,2,200.28,2,2,2,222,Needs Attention
11088,78,2,3176.7799999999997,4,2,4,424,Big Spender
11089,72,2,3188.2799999999997,4,2,4,424,Big Spender
11090,69,3,6704.08,4,3,4,434,Loyal Customers
11091,21,28,1189.33,4,4,3,443,Loyal Customers
11092,222,3,8110.0199999999995,2,3,4,234,Loyal Customers
11093,235,3,8180.0,2,3,4,234,Loyal Customers
11094,18,3,235.89,4,3,2,432,Loyal Customers
11095,218,3,8158.009999999999,2,3,4,234,Loyal Customers
11096,183,3,8063.039999999999,2,3,4,234,Loyal Customers
11097,189,3,8099.029999999999,2,3,4,234,Loyal Customers
11098,105,3,88.96,3,3,2,332,Loyal Customers
11099,212,3,8215.99,2,3,4,234,Loyal Customers
11100,175,3,8172.51,2,3,4,234,Loyal Customers
11101,214,3,8262.52,2,3,4,234,Loyal Customers
11102,51,3,102.91,4,3,2,432,Loyal Customers
11103,237,3,8182.5,2,3,4,234,Loyal Customers
11104,228,3,8173.029999999999,2,3,4,234,Loyal Customers
11105,238,3,8095.99,2,3,4,234,Loyal Customers
11106,228,3,8079.049999999999,2,3,4,234,Loyal Customers
11107,222,3,8171.009999999999,2,3,4,234,Loyal Customers
11108,220,3,8124.039999999999,2,3,4,234,Loyal Customers
11109,219,3,8245.009999999998,2,3,4,234,Loyal Customers
11110,162,3,8093.03,3,3,4,334,Loyal Customers
11111,160,3,8137.0,3,3,4,334,Loyal Customers
11112,149,3,8295.02,3,3,4,334,Loyal Customers
11113,283,3,109.88,1,3,2,132,Almost Lost
11114,34,3,122.89,4,3,2,432,Loyal Customers
11115,27,3,113.71000000000001,4,3,2,432,Loyal Customers
11116,105,3,148.7,3,3,2,332,Loyal Customers
11117,218,3,8184.99,2,3,4,234,Loyal Customers
11118,3,3,123.8,4,3,2,432,Loyal Customers
11119,67,2,85.22,4,2,2,422,Recent Customers
11120,132,3,8242.49,3,3,4,334,Loyal Customers
11121,86,3,58.16,4,3,2,432,Loyal Customers
11122,160,3,42.92999999999999,3,3,1,331,Needs Attention
11123,4,3,149.84,4,3,2,432,Loyal Customers
11124,225,3,8129.0199999999995,2,3,4,234,Loyal Customers
11125,210,3,79.69,2,3,2,232,Loyal Customers
11126,87,3,4972.37,4,3,4,434,Loyal Customers
11127,120,2,43.980000000000004,3,2,1,321,Needs Attention
11128,170,2,143.94,2,2,2,222,Needs Attention
11129,385,2,5873.26,1,2,4,124,Almost Lost
11130,51,1,37.29,4,1,1,411,Recent Customers
11131,6,5,165.91,4,4,2,442,Loyal Customers
11132,295,1,2371.9399999999996,1,1,3,113,Lost Customers
11133,30,1,71.96000000000001,4,1,2,412,Recent Customers
11134,87,3,4911.83,4,3,4,434,Loyal Customers
11135,286,1,2334.97,1,1,3,113,Lost Customers
11136,391,1,2380.47,1,1,3,113,Lost Customers
11137,9,2,202.57,4,2,2,422,Recent Customers
11138,29,2,78.97,4,2,2,422,Recent Customers
11139,104,2,83.97,3,2,2,322,Needs Attention
11140,316,1,39.99,1,1,1,111,Lost Customers
11141,123,2,113.96000000000001,3,2,2,322,Needs Attention
11142,16,17,980.77,4,4,3,443,Loyal Customers
11143,41,2,48.56,4,2,1,421,Recent Customers
11144,369,1,2399.97,1,1,3,113,Lost Customers
11145,369,1,2309.97,1,1,3,113,Lost Customers
11146,136,3,112.93,3,3,2,332,Loyal Customers
11147,105,3,8195.5,3,3,4,334,Loyal Customers
11148,57,3,126.24000000000001,4,3,2,432,Loyal Customers
11149,61,3,41.26,4,3,1,431,Recent Customers
11150,198,3,192.42,2,3,2,232,Loyal Customers
11151,101,3,8087.3099999999995,3,3,4,334,Loyal Customers
11152,385,1,2294.99,1,1,3,113,Lost Customers
11153,306,2,109.77,1,2,2,122,Almost Lost
11154,384,1,2319.99,1,1,3,113,Lost Customers
11155,388,1,2319.99,1,1,3,113,Lost Customers
11156,386,1,2389.97,1,1,3,113,Lost Customers
11157,140,2,41.28,3,2,1,321,Needs Attention
11158,375,1,2395.9599999999996,1,1,3,113,Lost Customers
11159,83,2,48.56,4,2,1,421,Recent Customers
11160,342,1,2322.2799999999997,1,1,3,113,Lost Customers
11161,79,2,93.95,4,2,2,422,Recent Customers
11162,345,1,2329.9799999999996,1,1,3,113,Lost Customers
11163,177,2,46.27,2,2,1,221,Needs Attention
11164,177,2,144.76000000000002,2,2,2,222,Needs Attention
11165,238,2,102.49,2,2,2,222,Needs Attention
11166,54,2,87.96000000000001,4,2,2,422,Recent Customers
11167,62,2,3126.33,4,2,4,424,Big Spender
11168,74,2,3136.59,4,2,4,424,Big Spender
11169,127,2,81.26,3,2,2,322,Needs Attention
11170,31,2,157.23000000000002,4,2,2,422,Recent Customers
11171,83,3,6716.55,4,3,4,434,Loyal Customers
11172,18,2,128.94,4,2,2,422,Recent Customers
11173,36,2,102.49,4,2,2,422,Recent Customers
11174,188,2,48.56,2,2,1,221,Needs Attention
11175,87,3,6710.55,4,3,4,434,Loyal Customers
11176,2,28,1320.01,4,4,3,443,Loyal Customers
